#nodeA	nodeB	score1
ADRBK1(156)	FPR1(2357)	0
ADRBK1(156)	GNAQ(2776)	0
ADRBK1(156)	PDCL(5082)	0
ADRBK1(156)	PIK3CG(5294)	0
ADRBK1(156)	PRKACA(5566)	0
ADRBK1(156)	PRKCA(5578)	0
ADRBK1(156)	PRKCB1(5579)	0
ADRBK1(156)	PRKCD(5580)	0
ADRBK1(156)	PRKCG(5582)	0
ADRBK1(156)	MAPK3(5595)	0
ADRBK1(156)	RPLP2(6181)	0
ADRBK1(156)	GIT2(9815)	0
ADRBK2(157)	CXCR4(7852)	0
AHR(196)	ARNT(405)	0
AHR(196)	EP300(2033)	0
AHR(196)	GTF2F2(2963)	0
AHR(196)	HSPCA(3320)	0
AHR(196)	RB1(5925)	0
AHR(196)	RELA(5970)	0
AHR(196)	TAF4(6874)	0
AHR(196)	XPO1(7514)	0
AHR(196)	DAP3(7818)	0
AHR(196)	NCOA1(8648)	0
AHR(196)	NCOR2(9612)	0
AHR(196)	NCOA2(10499)	0
AKT1(207)	AKT2(208)	0
AKT1(207)	BIRC4(331)	0
AKT1(207)	BAD(572)	0
AKT1(207)	BRCA1(672)	0
AKT1(207)	BRAF(673)	0
AKT1(207)	CASP3(836)	0
AKT1(207)	CASP9(842)	0
AKT1(207)	CDKN1A(1026)	0
AKT1(207)	CDKN1B(1027)	0
AKT1(207)	CHEK1(1111)	0
AKT1(207)	CHUK(1147)	0
AKT1(207)	MAP3K8(1326)	0
AKT1(207)	CREB1(1385)	0
AKT1(207)	EDG1(1901)	0
AKT1(207)	EP300(2033)	0
AKT1(207)	FANCA(2175)	0
AKT1(207)	FOXO1A(2308)	0
AKT1(207)	GATA1(2623)	0
AKT1(207)	GATA2(2624)	0
AKT1(207)	GSK3A(2931)	0
AKT1(207)	GSK3B(2932)	0
AKT1(207)	NR4A1(3164)	0
AKT1(207)	HSPCA(3320)	0
AKT1(207)	IKBKB(3551)	0
AKT1(207)	ILK(3611)	0
AKT1(207)	IMPDH2(3615)	0
AKT1(207)	IRAK1(3654)	0
AKT1(207)	IRS1(3667)	0
AKT1(207)	ITGB3(3690)	0
AKT1(207)	MDM2(4193)	0
AKT1(207)	MDM4(4194)	0
AKT1(207)	MAP3K5(4217)	0
AKT1(207)	MAP3K11(4296)	0
AKT1(207)	MTCP1(4515)	0
AKT1(207)	NCF1(4687)	0
AKT1(207)	PAK1(5058)	0
AKT1(207)	PDPK1(5170)	0
AKT1(207)	PIK3R1(5295)	0
AKT1(207)	PPM1A(5494)	0
AKT1(207)	PPP2CA(5515)	0
AKT1(207)	PKN2(5586)	0
AKT1(207)	PRKCQ(5588)	0
AKT1(207)	PRKCZ(5590)	0
AKT1(207)	PRKDC(5591)	0
AKT1(207)	PTEN(5728)	0
AKT1(207)	PTPN1(5770)	0
AKT1(207)	RAC1(5879)	0
AKT1(207)	RAF1(5894)	0
AKT1(207)	RPS6KB1(6198)	0
AKT1(207)	MAP2K4(6416)	0
AKT1(207)	STAT1(6772)	0
AKT1(207)	TERT(7015)	0
AKT1(207)	TSC2(7249)	0
AKT1(207)	TCL1A(8115)	0
AKT1(207)	TNFSF11(8600)	0
AKT1(207)	PEA15(8682)	0
AKT1(207)	BCL10(8915)	0
AKT1(207)	MAPKAPK2(9261)	0
AKT1(207)	TCL1B(9623)	0
AKT1(207)	BCL2L11(10018)	0
AKT1(207)	DLC1(10395)	0
AKT1(207)	KIAA1212(55704)	0
AKT1(207)	TRIB3(57761)	0
AKT1(207)	WNK1(65125)	0
AKT2(208)	BIRC4(331)	0
AKT2(208)	CHUK(1147)	0
AKT2(208)	GSK3B(2932)	0
AKT2(208)	HSPCA(3320)	0
AKT2(208)	MTCP1(4515)	0
AKT2(208)	PDPK1(5170)	0
AKT2(208)	TSC2(7249)	0
AKT2(208)	TCL1A(8115)	0
AKT2(208)	TCL1B(9623)	0
AKT2(208)	TRIB3(57761)	0
ALCAM(214)	CD6(923)	0
ALDH2(217)	CRMP1(1400)	0
ALDH2(217)	HSPE1(3336)	0
ALDH2(217)	C14orf1(11161)	0
ALOX5(240)	GRB2(2885)	0
ALOX5(240)	MAPKAPK2(9261)	0
A2M(2)	ANXA6(309)	0
A2M(2)	APOE(348)	0
A2M(2)	B2M(567)	0
A2M(2)	CTSB(1508)	0
A2M(2)	HSPA5(3309)	0
A2M(2)	IL1B(3553)	0
A2M(2)	MMP2(4313)	0
A2M(2)	PDGFB(5155)	0
A2M(2)	TGFBI(7045)	0
A2M(2)	ADAM19(8728)	0
A2M(2)	ATF7IP(55729)	0
BIN1(274)	CUTL1(1523)	0
BIN1(274)	ITGA6(3655)	0
BIN1(274)	ITGA1(3672)	0
BIN1(274)	ITGA3(3675)	0
BIN1(274)	MYC(4609)	0
BIN1(274)	PTK2(5747)	0
BIN1(274)	RAP1A(5906)	0
BIN1(274)	SOS1(6654)	0
BIN1(274)	DDEF2(8853)	0
BIN1(274)	RIN3(79890)	0
ANGPT1(284)	ANGPT2(285)	0
ANGPT1(284)	ITGA5(3678)	0
APC(324)	BUB1(699)	0
APC(324)	CDC20(991)	0
APC(324)	CSNK1E(1454)	0
APC(324)	CTNNB1(1499)	0
APC(324)	GSK3B(2932)	0
APC(324)	JUP(3728)	0
APC(324)	PPP2CA(5515)	0
APC(324)	PPP2R5A(5525)	0
APC(324)	PRKACA(5566)	0
APC(324)	PTK2(5747)	0
APC(324)	PTPN13(5783)	0
APC(324)	SIAH1(6477)	0
APC(324)	AXIN2(8313)	0
APC(324)	IQGAP1(8826)	0
APEX1(328)	CSNK2A1(1457)	0
APEX1(328)	EP300(2033)	0
APEX1(328)	FEN1(2237)	0
APEX1(328)	XRCC6(2547)	0
APEX1(328)	GZMA(3001)	0
APEX1(328)	HDAC1(3065)	0
APEX1(328)	HIF1A(3091)	0
APEX1(328)	HMGB2(3148)	0
APEX1(328)	MUTYH(4595)	0
APEX1(328)	NME1(4830)	0
APEX1(328)	PCNA(5111)	0
APEX1(328)	POLB(5423)	0
APEX1(328)	SET(6418)	0
APEX1(328)	TP53(7157)	0
APEX1(328)	TXN(7295)	0
APEX1(328)	XRCC1(7515)	0
APEX1(328)	ANP32A(8125)	0
BIRC4(331)	BIRC5(332)	0
BIRC4(331)	CASP3(836)	0
BIRC4(331)	CASP7(840)	0
BIRC4(331)	CASP9(842)	0
BIRC4(331)	GSPT1(2935)	0
BIRC4(331)	MAP3K7(6885)	0
BIRC4(331)	TRAF6(7189)	0
BIRC4(331)	MAP3K7IP1(10454)	0
BIRC4(331)	MAP3K7IP2(23118)	0
BIRC4(331)	ACVRL1(94)	0
ACVRL1(94)	TGFB1(7040)	0
ACVRL1(94)	TGFB3(7043)	0
ACVRL1(94)	TGFBR2(7048)	0
BIRC5(332)	CASP3(836)	0
BIRC5(332)	CASP7(840)	0
BIRC5(332)	CASP9(842)	0
BIRC5(332)	CDC2(983)	0
BIRC5(332)	CDK4(1019)	0
BIRC5(332)	HSPCA(3320)	0
BIRC5(332)	RASA1(5921)	0
BIRC5(332)	AURKB(9212)	0
ABCA1(19)	CSNK2A1(1457)	0
ABCA1(19)	LIMK1(3984)	0
ABCA1(19)	PRKACA(5566)	0
ABCA1(19)	SNTB2(6645)	0
ABCA1(19)	TIAM1(7074)	0
ABCA1(19)	FADD(8772)	0
ABCA1(19)	DLG5(9231)	0
ABCA1(19)	ARHGEF11(9826)	0
ABCA1(19)	RAPGEF6(51735)	0
APOE(348)	SCARB1(949)	0
APOE(348)	CTSB(1508)	0
APOE(348)	PRNP(5621)	0
FAS(355)	BTK(695)	0
FAS(355)	CALM1(801)	0
FAS(355)	CASP8(841)	0
FAS(355)	CD47(961)	0
FAS(355)	CRMP1(1400)	0
FAS(355)	EEF1A1(1915)	0
FAS(355)	FYN(2534)	0
FAS(355)	LCK(3932)	0
FAS(355)	MET(4233)	0
FAS(355)	PRKCA(5578)	0
FAS(355)	PTPN6(5777)	0
FAS(355)	PTPN13(5783)	0
FAS(355)	RAP1A(5906)	0
FAS(355)	UBE1L(7318)	0
FAS(355)	SUMO1(7341)	0
FAS(355)	VIL2(7430)	0
FAS(355)	TRADD(8717)	0
FAS(355)	RIPK1(8737)	0
FAS(355)	TNFSF13(8741)	0
FAS(355)	FADD(8772)	0
FAS(355)	CASP8AP2(9994)	0
FAS(355)	PDCD6(10016)	0
FAS(355)	HIPK3(10114)	0
FAS(355)	FEM1B(10116)	0
FAS(355)	FAF1(11124)	0
FAS(355)	C14orf1(11161)	0
FAS(355)	FAIM2(23017)	0
FAS(355)	APAF1(317)	0
APAF1(317)	BCL2L1(598)	0
APAF1(317)	CASP3(836)	0
APAF1(317)	CASP4(837)	0
APAF1(317)	CASP8(841)	0
APAF1(317)	CASP9(842)	0
APAF1(317)	FEM1B(10116)	0
APAF1(317)	NALP1(22861)	0
APAF1(317)	CYCS(54205)	0
AES(166)	PRDM1(639)	0
AES(166)	MSX1(4487)	0
AES(166)	POU2F1(5451)	0
AES(166)	RELA(5970)	0
AES(166)	CCL7(6354)	0
ARAF(369)	HRAS(3265)	0
ARAF(369)	PDGFRB(5159)	0
ARAF(369)	PIK3R1(5295)	0
ARAF(369)	MAP2K1(5604)	0
ARAF(369)	MAP2K2(5605)	0
ARAF(369)	COPS3(8533)	0
ARAF(369)	TIMM44(10469)	0
ARAF(369)	RRAS2(22800)	0
ARAF(369)	PBK(55872)	0
TRIM23(373)	GEM(2669)	0
TRIM23(373)	SF1(7536)	0
TRIM23(373)	PSCD1(9267)	0
TRIM23(373)	POM121(9883)	0
TRIM23(373)	GGA2(23062)	0
TRIM23(373)	RIBC2(26150)	0
RHOA(387)	ARHGAP1(392)	0
RHOA(387)	ARHGDIB(397)	0
RHOA(387)	DVL2(1856)	0
RHOA(387)	FLNA(2316)	0
RHOA(387)	ITPR1(3708)	0
RHOA(387)	MCF2(4168)	0
RHOA(387)	PPP1R12A(4659)	0
RHOA(387)	PRKACA(5566)	0
RHOA(387)	PRKCA(5578)	0
RHOA(387)	PKN1(5585)	0
RHOA(387)	PKN2(5586)	0
RHOA(387)	PRKCZ(5590)	0
RHOA(387)	RASGRF1(5923)	0
RHOA(387)	ROCK1(6093)	0
RHOA(387)	TRIO(7204)	0
RHOA(387)	VAV1(7409)	0
RHOA(387)	VAV2(7410)	0
RHOA(387)	PITPNM1(9600)	0
RHOA(387)	ARHGEF11(9826)	0
RHOA(387)	VAV3(10451)	0
RHOA(387)	AKAP13(11214)	0
RHOA(387)	DAAM1(23002)	0
RHOA(387)	ARHGEF3(50650)	0
RHOA(387)	GMIP(51291)	0
RHOA(387)	ARHGAP21(57584)	0
RHOA(387)	PLEKHG2(64857)	0
RHOA(387)	DOCK7(85440)	0
RHOA(387)	SPRED2(200734)	0
RHOC(389)	ARHGAP1(392)	0
RHOC(389)	ROCK1(6093)	0
ARHGAP1(392)	BNIP2(663)	0
ARHGAP1(392)	CDC42(998)	0
ARHGAP1(392)	ITPR1(3708)	0
ARHGAP1(392)	PIK3R1(5295)	0
ARHGAP1(392)	PTPN11(5781)	0
ARHGAP1(392)	RASA1(5921)	0
ARHGAP1(392)	TUBA1(7277)	0
ARHGAP1(392)	WAS(7454)	0
ARHGAP1(392)	TAX1BP1(8887)	0
RND3(390)	ROCK1(6093)	0
ACTL6A(86)	EWSR1(2130)	0
ACTL6A(86)	MYC(4609)	0
ACTL6A(86)	RELA(5970)	0
ACTL6A(86)	SMARCA2(6595)	0
ACTL6A(86)	TRRAP(8295)	0
RHOB(388)	ARHGEF3(50650)	0
ARHGDIB(397)	RHOH(399)	0
ARHGDIB(397)	CASP3(836)	0
ARHGDIB(397)	CDC42(998)	0
ARHGDIB(397)	RAC1(5879)	0
ARHGDIB(397)	RAC2(5880)	0
ARHGDIB(397)	VAV1(7409)	0
ARHGDIB(397)	VIL2(7430)	0
ARNT(405)	CSNK2A1(1457)	0
ARNT(405)	EP300(2033)	0
ARNT(405)	GTF2F2(2963)	0
ARNT(405)	HIF1A(3091)	0
ARNT(405)	PML(5371)	0
ARNT(405)	NCOA1(8648)	0
ARNT(405)	NCOR2(9612)	0
ARNT(405)	NCOA2(10499)	0
ARR3(407)	CLTC(1213)	0
ARR3(407)	CSNK2A1(1457)	0
ARR3(407)	DVL2(1856)	0
ARR3(407)	PTAFR(5724)	0
AP2B1(163)	ATM(472)	0
AP2B1(163)	BUB1(699)	0
AP2B1(163)	BUB1B(701)	0
AP2B1(163)	SMAD4(4089)	0
AP2B1(163)	MLH1(4292)	0
AP2B1(163)	TGFBR2(7048)	0
AP2B1(163)	ENTH(9685)	0
AP2B1(163)	POM121(9883)	0
AP2B1(163)	RIBC2(26150)	0
AP2B1(163)	FAM46C(54855)	0
AP2B1(163)	THAP1(55145)	0
AP2B1(163)	NECAP2(55707)	0
ATF1(466)	BRCA1(672)	0
ATF1(466)	CAMK2G(818)	0
ATF1(466)	CREB1(1385)	0
ATF1(466)	CREBBP(1387)	0
ATF1(466)	CREM(1390)	0
ATF1(466)	CSNK2A1(1457)	0
ATF1(466)	CSNK2A2(1459)	0
ATF1(466)	GABPB2(2553)	0
ATF1(466)	JUN(3725)	0
ATF1(466)	SPI1(6688)	0
ATF1(466)	CAMK1(8536)	0
ATF1(466)	RPS6KA5(9252)	0
ATF3(467)	DDIT3(1649)	0
ATF3(467)	FGFR3(2261)	0
ATF3(467)	JUN(3725)	0
ATF3(467)	JUND(3727)	0
ATF3(467)	SMAD3(4088)	0
ATF3(467)	NFKB1(4790)	0
ATF3(467)	TP53(7157)	0
ATF3(467)	CDCA1(83540)	0
ATM(472)	BRCA1(672)	0
ATM(472)	CHEK1(1111)	0
ATM(472)	E2F1(1869)	0
ATM(472)	H2AFX(3014)	0
ATM(472)	MDM2(4193)	0
ATM(472)	MDM4(4194)	0
ATM(472)	MRE11A(4361)	0
ATM(472)	NBN(4683)	0
ATM(472)	PRKDC(5591)	0
ATM(472)	RAD9A(5883)	0
ATM(472)	RAD17(5884)	0
ATM(472)	RAD51(5888)	0
ATM(472)	STK11(6794)	0
ATM(472)	TP53(7157)	0
ATM(472)	TP53BP1(7158)	0
ATM(472)	WRN(7486)	0
ATM(472)	XPA(7507)	0
ATM(472)	XRCC5(7520)	0
ATM(472)	SMC1L1(8243)	0
ATM(472)	TOPBP1(11073)	0
